VM Name,Host,IP Addresses,Cores,Memory Capacity,Storage,Controller Read IOPS,Controller Write IOPS,Controller IO Bandwidth,Backup and Recovery Capable,Flash Mode,CPU Usage,Memory Usage,Controller Avg IO Latency,Timestamp
ACI-ADTRAN01,NTNX-J9023FVM-A/AHV,172.16.28.21,6,16 GiB,15.08 GiB / 255.36 GiB,0,0,4 KBps,Yes,No,64.22%,54.93%,6.55 ms,2025-04-22T09:33:53.521604
ACI-ADTRAN02,NTNX-J302KCTX-A/AHV,172.16.28.22,6,16 GiB,15.07 GiB / 255.36 GiB,0,0,0 KBps,Yes,No,62.90%,45.80%,2.22 ms,2025-04-22T09:33:53.521604
ACI-ADTRAN03,NTNX-J302KCTX-A/AHV,172.16.28.23,6,16 GiB,15.08 GiB / 255.36 GiB,0,0,3 KBps,Yes,No,0.14%,14.71%,1.71 ms,2025-04-22T09:33:53.521604
ADTRAN-BACKUP01,NTNX-J9023FVL-A/AHV,172.16.28.17,4,8 GiB,5.17 GiB / 200 GiB,0,0,0 KBps,Yes,No,51.87%,78.97%,1.82 ms,2025-04-22T09:33:53.521604
AI-VM01,NTNX-J30212D6-A/AHV,,4,12 GiB,6.05 GiB / 500 GiB,-,-,-,Yes,No,20.48%,98.98%,3.74 ms,2025-04-22T09:33:53.521604
AI-VM02,NTNX-J3014839-A/AHV,,8,24 GiB,38.63 GiB / 600 GiB,-,-,-,Yes,No,69.13%,65.38%,5.70 ms,2025-04-22T09:33:53.521604
AI-VM03,NTNX-J30212D6-A/AHV,,4,12 GiB,2.99 GiB / 200 GiB,-,-,-,Yes,No,81.17%,10.13%,1.58 ms,2025-04-22T09:33:53.521604
AMICAL-WebServer01,NTNX-J3014837-A/AHV,10.1.10.10,8,16 GiB,16.56 GiB / 255.14 GiB,0,0,5 KBps,Yes,No,86.83%,74.54%,2.20 ms,2025-04-22T09:33:53.521604
AMS01,,,12,96 GiB,603.14 GiB / 2.5 TiB,-,-,-,Yes,No,20.75%,85.87%,9.91 ms,2025-04-22T09:33:53.521604
AMS01-30012023,,,12,96 GiB,416.52 GiB / 2.44 TiB,-,-,-,Yes,No,56.07%,99.45%,1.93 ms,2025-04-22T09:33:53.521604
AMS01-30012023-initial_clone,,,12,96 GiB,6.15 GiB / 2.45 TiB,-,-,-,Yes,No,86.48%,55.35%,5.78 ms,2025-04-22T09:33:53.521604
AMS01-clone07032025,,,12,96 GiB,938.83 GiB / 2.44 TiB,-,-,-,Yes,No,62.54%,15.84%,8.46 ms,2025-04-22T09:33:53.521604
AMS01-clone22022025,NTNX-J9023FVM-A/AHV,172.30.7.124 | 172.30.7.108 | 172.30.7.116,12,96 GiB,813.68 GiB / 2.44 TiB,0,0,5 KBps,Yes,No,31.32%,79.16%,8.44 ms,2025-04-22T09:33:53.521604
AMS01-New,,,12,96 GiB,682.86 GiB / 2.64 TiB,-,-,-,Yes,No,6.63%,29.91%,3.23 ms,2025-04-22T09:33:53.521604
AMS02,,,12,96 GiB,476.5 GiB / 2.5 TiB,-,-,-,Yes,No,66.65%,60.31%,3.45 ms,2025-04-22T09:33:53.521604
AMS02-06032023,NTNX-J302KCTX-A/AHV,172.30.7.125 | 172.30.7.109 | 172.30.7.117,12,96 GiB,562.81 GiB / 2.44 TiB,0,55,959 KBps,Yes,No,23.63%,58.53%,7.04 ms,2025-04-22T09:33:53.521604
AMS02-06032023-clone08092023,,,12,96 GiB,- / 2.44 TiB,-,-,-,Yes,No,71.17%,71.88%,9.77 ms,2025-04-22T09:33:53.521604
AMS02-06032023-clone_10012025,,,12,96 GiB,503.15 GiB / 2.44 TiB,-,-,-,Yes,No,92.93%,39.01%,6.41 ms,2025-04-22T09:33:53.521604
AMS02-06032023-clone_Full_OS,,,12,96 GiB,3.98 GiB / 2.44 TiB,-,-,-,Yes,No,81.21%,84.45%,2.49 ms,2025-04-22T09:33:53.521604
AMS02-20022023-BRUT,,,12,96 GiB,8.15 GiB / 2.45 TiB,-,-,-,Yes,No,3.20%,43.08%,1.35 ms,2025-04-22T09:33:53.521604
AMS02-new,,,12,96 GiB,676.01 GiB / 2.44 TiB,-,-,-,Yes,No,33.23%,29.44%,9.30 ms,2025-04-22T09:33:53.521604
AMS02-new-clone15022023,,,12,96 GiB,676.01 GiB / 2.44 TiB,-,-,-,Yes,No,29.91%,78.18%,1.47 ms,2025-04-22T09:33:53.521604
AMS03,NTNX-J30212D6-A/AHV,172.30.7.126,8,8 GiB,17.48 GiB / 45.65 GiB,0,0,7 KBps,Yes,No,38.31%,30.86%,2.25 ms,2025-04-22T09:33:53.521604
AUTIN-OWS01,,,4,12 GiB,40.57 GiB / 320 GiB,-,-,-,Yes,No,88.93%,92.35%,7.01 ms,2025-04-22T09:33:53.521604
BB-CACTI-DATA01,NTNX-J30212D6-A/AHV,192.168.60.25 | 172.30.6.214,4,16 GiB,17.02 GiB / 150 GiB,0,0,2 KBps,Yes,No,64.35%,79.28%,4.99 ms,2025-04-22T09:33:53.521604
BB-CACTI-DATA01-clone09022023,,,4,16 GiB,14.54 GiB / 150 GiB,-,-,-,Yes,No,70.90%,56.43%,4.37 ms,2025-04-22T09:33:53.521604
BB-CACTI-DATA01-Clone23112022,,,4,16 GiB,12.89 GiB / 150 GiB,-,-,-,Yes,No,89.07%,87.96%,5.45 ms,2025-04-22T09:33:53.521604
BB-CACTI-DATA01-HUAWEI01,NTNX-J900RCNW-A/AHV,192.168.60.26 | 172.30.6.165,16,16 GiB,31.68 GiB / 300 GiB,0,649,4.6 MBps,Yes,No,38.37%,16.76%,6.26 ms,2025-04-22T09:33:53.521604
BB-CACTI-DATA01-HUAWEI01-clone09022023,,,16,16 GiB,26.58 GiB / 300 GiB,-,-,-,Yes,No,12.00%,94.78%,1.31 ms,2025-04-22T09:33:53.521604
BB-CACTI-DATA01-HUAWEI01-Clone23112022,,,16,16 GiB,25.27 GiB / 300 GiB,-,-,-,Yes,No,12.85%,80.48%,2.01 ms,2025-04-22T09:33:53.521604
BB-CACTI-SIMENS01,NTNX-J900RCNW-A/AHV,192.168.60.27 | 172.16.28.20,4,16 GiB,14.15 GiB / 150 GiB,0,224,1.62 MBps,Yes,No,74.33%,57.54%,5.61 ms,2025-04-22T09:33:53.521604
BB-CACTI-SIMENS01-clone09022023,,,4,16 GiB,12.15 GiB / 150 GiB,-,-,-,Yes,No,32.55%,97.97%,2.59 ms,2025-04-22T09:33:53.521604
BB-CACTI-SIMENS01-Clone23112022,,,4,16 GiB,11.94 GiB / 150 GiB,-,-,-,Yes,No,46.47%,81.13%,7.84 ms,2025-04-22T09:33:53.521604
BB-CACTI01,NTNX-J3014838-A/AHV,10.5.11.131 | 192.168.60.4,8,8 GiB,38.74 GiB / 50.35 GiB,0,20,136 KBps,Yes,No,84.37%,46.34%,4.53 ms,2025-04-22T09:33:53.521604
BB-CACTI02,,,8,16 GiB,69.19 GiB / 100.34 GiB,-,-,-,Yes,No,14.16%,75.11%,9.54 ms,2025-04-22T09:33:53.521604
BB-CACTI02-New,NTNX-J3014836-A/AHV,192.168.60.9,8,8 GiB,8.61 GiB / 60 GiB,0,0,2 KBps,Yes,No,50.54%,56.08%,5.96 ms,2025-04-22T09:33:53.521604
